Date,STLFSI2
2014-09-19,-0.6344
2014-09-26,-0.4354
2014-10-03,-0.4169
2014-10-10,-0.3798
2014-10-17,0.0874
2014-10-24,-0.5504
2014-10-31,-0.5665
2014-11-07,-0.546
2014-11-14,-0.5283
2014-11-21,-0.3828
2014-11-28,-0.4761
2014-12-05,-0.3793
2014-12-12,-0.1297
2014-12-19,-0.0375
2014-12-26,-0.5551
2015-01-02,-0.1977
2015-01-09,0.0779
2015-01-16,0.0792
2015-01-23,-0.0961
2015-01-30,-0.0601
2015-02-06,-0.251
2015-02-13,-0.3483
2015-02-20,-0.3229
2015-02-27,-0.2849
2015-03-06,-0.3382
2015-03-13,-0.1825
2015-03-20,-0.1917
2015-03-27,-0.2714
2015-04-03,-0.2575
2015-04-10,-0.4419
2015-04-17,-0.4251
2015-04-24,-0.4789
2015-05-01,-0.4439
2015-05-08,-0.3869
2015-05-15,-0.3602
2015-05-22,-0.3585
2015-05-29,-0.2459
2015-06-05,-0.2592
2015-06-12,-0.2755
2015-06-19,-0.2111
2015-06-26,-0.3789
2015-07-03,0.0274
2015-07-10,-0.0677
2015-07-17,-0.4132
2015-07-24,-0.2445
2015-07-31,-0.1543
2015-08-07,-0.2051
2015-08-14,-0.1145
2015-08-21,0.12
2015-08-28,0.5989
2015-09-04,0.2136
2015-09-11,0.1111
2015-09-18,0.1236
2015-09-25,0.357
2015-10-02,0.6451
2015-10-09,-0.0122
2015-10-16,0.0676
2015-10-23,-0.0591
2015-10-30,-0.1071
2015-11-06,-0.175
2015-11-13,0.033
2015-11-20,0.0184
2015-11-27,-0.0431
2015-12-04,0.0155
2015-12-11,0.3394
2015-12-18,0.4207
2015-12-25,0.2683
2016-01-01,0.2036
2016-01-08,0.6145
2016-01-15,0.7747
2016-01-22,0.8665
2016-01-29,0.38
2016-02-05,0.5843
2016-02-12,1.1291
2016-02-19,0.4052
2016-02-26,0.3907
2016-03-04,0.0747
2016-03-11,0.1215
2016-03-18,0.02
2016-03-25,0.0378
2016-04-01,0.3019
2016-04-08,0.2425
2016-04-15,-0.0158
2016-04-22,-0.1336
2016-04-29,-0.0317
2016-05-06,0.1999
2016-05-13,0.0733
2016-05-20,-0.0448
2016-05-27,-0.1038
2016-06-03,0.0322
2016-06-10,0.0567
2016-06-17,0.4669
2016-06-24,0.1301
2016-07-01,0.4883
2016-07-08,0.0883
2016-07-15,-0.2554
2016-07-22,-0.0422
2016-07-29,0.12
2016-08-05,0.2402
2016-08-12,0.0646
2016-08-19,0.0465
2016-08-26,0.1385
2016-09-02,0.1521
2016-09-09,0.1581
2016-09-16,0.3517
2016-09-23,0.2212
2016-09-30,0.1871
2016-10-07,-0.071
