Target,Model,RMSE,MAE,R2,MAPE_%
Target_1d,RandomForest,2268.9859019781893,1612.7045090068884,0.9828428774297416,3.611054653966056
Target_1d,GradientBoosting,2948.2265892859723,1867.2591403567455,0.9710330629017666,3.6054620120654017
Target_1d,ExtraTrees,4861.927075083588,3894.552138900909,0.921223307996727,8.3541358018378
Target_1d,LSTM,26687.65894292917,23579.43998732612,-1.4596853798076492,49.48029625053227
Target_1d,GRU,26723.21058555652,21572.19140625,-1.466242790222168,40.941165924072266
Target_30d,RandomForest,16817.746700435313,12489.246829320486,0.2257572048809695,22.73471222965525
Target_30d,GradientBoosting,18893.08435536383,14317.264176943774,0.0228813879843921,26.392810953347876
Target_30d,ExtraTrees,25349.67793538427,19645.95586037093,-0.7590834819463321,34.928122759288826
Target_365d,GradientBoosting,43329.549113155226,36749.36531824147,-2.6001362893345905,39.36277860456213
Target_365d,RandomForest,43968.02296860511,37574.42219062851,-2.7070161517301123,40.41166679179154
Target_365d,ExtraTrees,52277.998036937184,46253.80506484467,-4.240690335727927,51.004407808128185
Target_7d,RandomForest,7334.324745181916,6022.054680340248,0.8224554670105948,13.127304957472411
Target_7d,GradientBoosting,8973.332048177012,6618.099206898492,0.7342370045258466,12.590611942214148
Target_7d,ExtraTrees,11497.302476384357,10023.750463143537,0.5637062947117146,21.696644142179235
