target,scenario,model,RMSE,MAE,R2
Target_1d,full,LinearRegression,3613.380607996152,2849.4236961312986,0.9564880769344457
Target_1d,full,DecisionTree,4535.420084772349,3678.277703382298,0.9314486681532963
Target_1d,selectkbest_30,LinearRegression,1300.4421149758275,856.696235532221,0.9943641047787685
Target_1d,selectkbest_30,DecisionTree,3905.15530939027,2866.287369596744,0.9491773296606822
Target_1d,pca_10,LinearRegression,11872.246344994339,9621.126950142334,0.5302717738221843
Target_1d,pca_10,DecisionTree,31999.14879260115,26939.768159969124,-2.4123825356908695
Target_7d,full,LinearRegression,17903.57366166981,14207.700259967942,-0.05795327615771573
Target_7d,full,DecisionTree,10597.754953052498,9266.475495298466,0.6293066633372102
Target_7d,selectkbest_30,LinearRegression,4203.472337614444,3051.5215982383356,0.9416818927320271
Target_7d,selectkbest_30,DecisionTree,11261.690946319552,9243.077578241953,0.5814048013391819
Target_7d,pca_10,LinearRegression,14637.080092368918,11565.567150908286,0.2928754239158535
Target_7d,pca_10,DecisionTree,31550.115152946404,26313.385306535365,-2.2854051250298326
Target_30d,full,LinearRegression,25472.77784068835,17709.59616232193,-0.7762094418906804
Target_30d,full,DecisionTree,15961.902142098223,13056.56103808009,0.30255358488462814
Target_30d,selectkbest_30,LinearRegression,11823.891631604829,8600.621241541025,0.6172964949576041
Target_30d,selectkbest_30,DecisionTree,17352.765911518265,14714.870862766655,0.17571200489986583
Target_30d,pca_10,LinearRegression,20524.02110350515,15783.1778050452,-0.15309864957969221
Target_30d,pca_10,DecisionTree,30212.847139775153,23620.027592276383,-1.4987618416431823
Target_365d,full,LinearRegression,67308.37680317441,51311.01748642487,-7.687380368334214
Target_365d,full,DecisionTree,46011.75735085547,38133.71852194049,-3.0596467404631573
Target_365d,selectkbest_30,LinearRegression,159136.66857318347,126825.76579366851,-47.56139194844347
Target_365d,selectkbest_30,DecisionTree,66087.3086500141,60400.93004420846,-7.375036999642374
Target_365d,pca_10,LinearRegression,55007.749659973735,48020.89054980202,-4.802275682735392
Target_365d,pca_10,DecisionTree,44784.4056806947,38769.51737345621,-2.8459553050278217
