Model,Feature Set,Target,Parameters,RMSE (Test),MAE (Test),R² (Test),Direction Accuracy (Test),RMSE (Train),MAE (Train),R² (Train),Direction Accuracy (Train)
LinearRegression,Full Features,Target_1d,{'fit_intercept': True},13060.559701350667,10912.504125588373,0.7800562099503464,0.46925972396486826,4820.461048190579,3121.511712093639,0.9098167138552284,0.4952948557089084
DecisionTree,Full Features,Target_1d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",54910.8339181947,47239.755409549405,-2.887802597795456,0.48306148055207027,2679.938850757064,1416.771436561359,0.9721260401676868,0.4755332496863237
LinearRegression,Feature Selection,Target_1d,{'fit_intercept': True},14527.434816523264,11916.9101700255,0.7278765314275881,0.4767879548306148,4973.11640267812,3381.4102370989244,0.9040143854623514,0.48902132998745296
DecisionTree,Feature Selection,Target_1d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",55156.253987329066,47738.03520620599,-2.9226327744741925,0.48306148055207027,2525.4057195588207,1378.5394588084544,0.9752479473592491,0.47271016311166875
LinearRegression,PCA,Target_1d,{'fit_intercept': True},45123.63189566189,39846.202016764815,-1.6254044830891776,0.4604767879548306,6649.740679609519,4589.907207416472,0.8283837849977541,0.4974905897114178
DecisionTree,PCA,Target_1d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",62696.072402651065,52576.46844119019,-4.068375671659559,0.48431618569636137,2672.718419806373,1635.7253281611313,0.9722760367819347,0.46800501882057716
LinearRegression,Full Features,Target_7d,{'fit_intercept': True},13271.298442691841,10894.474895539503,0.7723500745451549,0.4836683417085427,4940.635322457884,3112.0246171019467,0.9053013359073283,0.48790449261702795
DecisionTree,Full Features,Target_7d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",58975.711226934625,50993.30792966272,-3.4955937136142,0.4798994974874372,2699.903888928042,1446.8498330570114,0.9717202957430622,0.4750235626767201
LinearRegression,Feature Selection,Target_7d,{'fit_intercept': True},14996.083906759024,12091.977418640525,0.7093325472886274,0.4861809045226131,5121.638086169206,3411.4335624576024,0.8982355646415017,0.48633364750235625
DecisionTree,Feature Selection,Target_7d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",58542.83015529893,50252.00950777304,-3.4298406988897607,0.4849246231155779,2508.73696260276,1402.5356082786898,0.9755832131690546,0.4747093936537857
LinearRegression,PCA,Target_7d,{'fit_intercept': True},45256.47479766064,39988.77550845503,-1.6472936949749006,0.4937185929648241,6707.759447471981,4602.960627425782,0.8254446300736533,0.5014137606032045
DecisionTree,PCA,Target_7d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",59525.350665033744,50669.037867697254,-3.57977989490339,0.4836683417085427,2566.1367957606776,1538.439876555179,0.9744531203173108,0.47690857681432614
LinearRegression,Full Features,Target_30d,{'fit_intercept': True},13455.001136483314,10804.591183800887,0.7627768444152503,0.48419721871049304,5174.654143663507,3284.7285390170637,0.8962288769836271,0.4859399684044234
DecisionTree,Full Features,Target_30d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",69058.2626303812,58662.741882106195,-5.249149253856666,0.48419721871049304,2778.6914747892324,1377.823063373722,0.9700777313853061,0.47393364928909953
LinearRegression,Feature Selection,Target_30d,{'fit_intercept': True},15456.464158833753,11948.038664755786,0.6869527424977674,0.4854614412136536,5516.777009288294,3715.4928177976326,0.8820535918060479,0.4890995260663507
DecisionTree,Feature Selection,Target_30d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",67657.9740310184,58271.58206901355,-4.9982916617729884,0.48166877370417194,2777.4062147787954,1431.2635389702268,0.9701054055631954,0.4729857819905213
LinearRegression,PCA,Target_30d,{'fit_intercept': True},45695.84027274245,40433.44206677669,-1.7361691157312573,0.49051833122629585,6933.266217966762,4753.914014078734,0.8137099700713477,0.47835703001579777
DecisionTree,PCA,Target_30d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",59880.08131352259,51535.40472427547,-3.698447342982731,0.4892541087231353,2510.706072588402,1474.9721120604445,0.9755710046944578,0.47014218009478675
LinearRegression,Full Features,Target_365d,{'fit_intercept': True},14861.691451646719,11979.121797162863,0.6398773330162777,0.4930939226519337,7355.470864459294,5602.575788673867,0.7922848276871106,0.48740075940628236
DecisionTree,Full Features,Target_365d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",75436.42744209488,70659.82511148037,-8.278466456735577,0.48204419889502764,2739.296530326566,1689.0390496129467,0.9711911875710282,0.4697963410424577
LinearRegression,Feature Selection,Target_365d,{'fit_intercept': True},43102.13862210335,39637.29701024405,-2.0290860808855387,0.48480662983425415,7501.397631315386,5710.438583260936,0.7839612602836634,0.4932688988608906
DecisionTree,Feature Selection,Target_365d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",48401.400497172646,43251.180167318955,-2.8197050866226205,0.48066298342541436,2489.1249065599513,1535.0934014846393,0.9762129469013752,0.4715222644114601
LinearRegression,PCA,Target_365d,{'fit_intercept': True},69224.28216727125,65163.458531924436,-6.813235211289882,0.47375690607734805,9089.713137764245,6710.151828090456,0.6827894549187199,0.5091473938557128
DecisionTree,PCA,Target_365d,"{'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error', 'random_state': 42}",57257.74809949833,51624.909453580214,-4.345428241629474,0.48204419889502764,3687.3275269888836,2089.4924784843474,0.9477999772581968,0.4725578184328616
